中文名称,件号,手册章节
MIL-L-25567,MIL-PRF-25567E,
MIL-L-25567 (TYPE 1),MIL-PRF-25567E,
MIL-L-25567 TYPE I,MIL-PRF-25567E,
MIL-L-25681,ROYCO 81MS,
MIL-L-6081,ROYCO 481,
MIL-L-6085,ROYCO 885,
MIL-L-7808,AEROSHELL 308,
MIL-L-7870,ROYCO363,
MIL-L-7870,ROYCO 363,
MIL-L-87177,SUPER CORR-A,
MIL-M-7866,MOLYKOTE R Z POWDER,
MIL-M-7866,MOLYKOTE Z POWDER,
MIL-P-17667,06536,
MIL-P-23377,PR143,
MIL-P-8116,MASTINOX 6856K,
MIL-PFR-81322,MOBIL 28,
MIL-PRF-16173,ARDROX 3140 500G/EA,
MIL-PRF-16173,AV30,
MIL-PRF-23699,MOBIL JET2,
MIL-PRF-23827,AEROSHELL 7,
MIL-PRF-23827,AEROSHELL 7 CN,
MIL-PRF-23827,MOBIL GREASE33,
MIL-PRF-23827 TYPE I,MOBIL GREASE33,
MIL-PRF25567,LEAK-TEC277C,
MIL-PRF-25567,LEAK-TEC277C,
MIL-PRF-25567 TYPE I,MIL-PRF-25567E,
MIL-PRF-5606,ROYCO 756,
MIL-PRF-6081 GRADE 1010,ROYCO 481,
MIL-PRF-6081GRADE1010,ROYCO 481,
MIL-PRF-6085,ROYCO 885,
MIL-PRF-680,ARDROX 5503,
MIL-PRF-680,ARDROX5502,
MIL-PRF-680,ARDROX 5502,
MIL-PRF-680 TYPE I,ARDROX 5502,
MIL-PRF-7808,AEROSHELL#308,
MIL-PRF-7808,ALEROSHELL 308,
MIL-PRF-7808,AEROSHELL 308,
MIL-PRF-7870,ROYCO 363,
MIL-PRF-8116,MASTINOX 6856K,
MIL-PRF-81322,MOBIL 28,
MIL-PRF-83483,MIL-PRF-83483C,
MIL-PRF-907,EASE-OFF990,
MIL-PRF-907,NSN165,
MIL-PRF-907F,NSN165,
MIL-T-5544,NYCO GREASE GN GA 47,
MIL-T-81533,TRICHLOROETHYLENE,
MIL-T-81533A,ARDROX 5528,
MIL-T-81533A,TRICHLOROETHYLENE,
MO-LITH NO.2,MOLITH 2,
NO.02-003,EXXON HYJET V,
NO.02-004,ROYCO SSF,
NO.02-006,CASTROL AERO 40,
NO.02-006,ROYCO LGF,
NO.03-001,ROYCO 363,
NO.03-001,ROYCO363,
NO.03-002,MOBIL JET2,
NO.04-002,ROYCO 64,
NO.04-003,NYCO GREASE GN GA 47,
NO.04-004,MOBIL GREASE33,
NO.04-004A,MOBIL 28,
NO.04-004B,AEROSHELL 7,
NO.04-007,MOLYKOTE D321R,
NO.04-008,ROYCO 825,
NO.04-008,ROYCO HF-825,
NO.04-011,MOLYKOTE 55M,
NO.04-012,BRAYCOTE 236,
NO.04-012,V-V-P-236A,
NO.04-012,VV-P-236,
NO.04-014,C5A,
NO.04-014A,NSN165,
NO.04-015,MCS352B,
NO.04-017,DC33,
NO.04-021,MASTINOX 6856K,
NO.04-022,MOBIL 28,
NO.04-023,KRYTOX240AC 2OZ/1EA,
NO.04-024,AEROSHELL 7,
NO.04-024,AEROSHELL#7,
NO.04-025,ROCOL AEROSPEC 100,
NO.04-035,MOBIL AVIA GREASE SHC 100,
NO.04-578,MOLYKOTE DX,
NO.05-002,MASTINOX 6856K,
NO.05-004,MIL-PRF-25567E,
NO.05-004B,MIL-PRF-25567E,
NO.05-005,TECTYL 502-C,
NO.05-007,MIL-C-9084 TY8BCL2 ST7781,
NO.05-010,ARDROX 1900B,
NO.05-013,QZ-5111,
NO.05-047,MASTINOX D40,
NO.05-115,MASTINOX 6856K,
NO.05-128,CR40 FT,
NO.05-533,MASTINOX D40,
NO.06-001A,LUBRI-BOND 220 ,
NO.06-002,LUBRI-BOND 220,
NO.06-014,MOLYKOTE G-RAPID PLUSPAST,
NO.07-001,NYCOTE 7-11,
NO.07-001,4125/6407BLUE,
NO.07-001B,NYCOTE 7-11,
NO.08-001C,LY560/HY560,
NO.08-004,RTV108,
NO.08-004A,RTV732,
NO.08-007B,LOCTITE 242,
NO.08-010,EA9321A/B,
NO.08-010,EA9321A/B KT,
NO.08-018,EC-1300L,
NO.08-025,EC3532 B/A,
NO.08-052,3M 425 3IN,
NO.08-057,FLOORSIL 1217,
NO.08-065,P421 2IN,
NO.08-065,SCOTCH MOUNT 4016 2IN,
NO.08-066,3M 950 2IN,
NO.08-074,3M 232 2IN,
NO.08-074,3M 232 1IN,
NO.08-074,3M 231 2IN,
NO.08-074,3M 231 1IN,
NO.08-077,AF-306-P,
NO.08-084,3M 471 3IN,
NO.08-085,DAN269-25,
NO.09-001,PROSEAL 890A1/2 6OZ,
NO.09-001,PROSEAL890A1/2 6OZ,
NO.09-002,PR1422B2,
NO.09-005A,P/S892C12,
NO.09-005H,PR1782C2,
NO.09-007,EC-776,
NO.09-010,MS20995C32,
NO.09-013,PROSEAL 870A2 6OZ,
NO.09-013B,PROSEAL 870A2 6OZ,
NO.09-013C,PR1422B2,
NO.09-016,PROSEAL870B2(6OZ),
NO.09-016,PR1422B2,
NO.09-016,PROSEAL 870B26OZ,
NO.09-016B,PROSEAL 870B26OZ,
NO.09-018,PR1773B2,
NO.09-019,PR1773B2,
NO.09-020,MASTINOX 6856K,
NO.09-023,DAPCO2200,
NO.09-036,FLOORSIL87,
NO.09-054,FLOORSIL 2,
NO.09-056,MC650B1,
NO.09-510,PR1770C12,
NO.09-510A,PR1770C12,
NO.11-001,ALGLAS VISIAL  ,
NO.11-001,ALGLAS VISIAL,
NO.11-001,ARDROX 1900B,
NO.11-001K,ARDROX 1900B,
NO.11-002,ARDROX 5503,
NO.11-002,ARDROX 5502,
NO.11-003,METHYLISOBUTYL KETONE,
NO.11-003,DIESTONE DLS,
NO.11-003,MEK,
NO.11-004,TRICHLOROETHYLENE,
NO.11-004,ARDROX 5528,
NO.11-004A,ARDROX 5528,
NO.11-005,ARDROX 5528,
NO.11-006,ALCOHOL,
NO.11-007,SAN50,
NO.11-010,ALCOHOL,
NO.11-011,ALGLAS VISIAL,
NO.11-011,ARDROX 1900B,
NO.11-013A,TC-100,
NO.11-017,ARDROX 1900B,
NO.11-017,ALGLAS VISIAL,
NO.11-019,ARDROX 1900B,
NO.11-020,ALGLAS VISIAL,
NO.11-021,ALCOHOL,
NO.11-026,LOTOXANE,
NO.11-028,HONEY BEE 60,
NO.13-002,ALODINE1200S,
NO.14-001A,ARDROX 1823,
NO.14-006B,ARDROX 1820,
NO.15-005,LPS-3,
NO.15-005A,LPS-3,
NO.15-006,AV8,
NO.15-008,AV30 13.5OZ,
NO.15-008,AV30,
NO.15-010,BRAYCOTE248,
NO.15-010,BRAYCOTE 248,
NO.16-001,4355/3600,
NO.16-002,AERODUR FINISH C21/100,
NO.16-008,C21/100UVR BAC1023,
NO.16-018,CA8000 B707,
NO.16-020,10P20-44MNF/EC-291B/TR114,
NO.16-020,7641/3600,
NO.16-047,ALEXIT404-12 788W,
NO.19-003,AC9165-9IN,
NO.19-009,MS20995C20,
NO.19-010,MS20995C32,
NO.19-011,7447B,
NO.19-014,NITROGEN,
NO.19-018,MS20995C25,
NO.19-026,MS20995CY15,
NO.19-027,NSA3811-0,
NO.9-003,AC9165-9IN,
NO.CP2010,ARDROX 5502,
NO.CP2011,ARDROX 5502,
NO.CP2101,GP460,
NO.CP2442,MOBIL JET2,
NO.CP5062,MOLYKOTE D321R,
NO.V01-002,TRICHLOROETHYLENE,
NO.V01-012,ALCOHOL,
NO.V02-126,MS9226-03,
NO.V02-147,MS20995C32,
NO.V04-004,PL32L,
NO.V08-030,DC90-006-2,
NO.V08-030,ARDROX 9D1B,
NO.V08-032,DC1200CLEAR,
NO.V10-031,C-200,
NO.V10-077,MOBIL JET2,
NO.V10-094,NSN165,
O T 620 TYPE I,TRICHLOROETHANE,
OF25-021,0F25-021,
O-M-232,METHYL ALCOHOL,
O-M-232,METHYL ALCOHOL,
OMAT 1/257,ARDROX 5502,
OMAT 1/40,ALCOHOL,
OMAT 101,航空煤油,
OMAT 1011,MOBIL JET2,
OMAT 1070D,ARDROX 6345,
OMAT 1208,SILICA GEL,
OMAT 1228,P421 2IN,
OMAT 2/101,AC9165-9IN,
OMAT 2/111,N10-FR,
OMAT 2/30,3M 5490,
OMAT 4/46,PL32L,
OMAT 4/47,PL32L,
OMAT 4/52,MOLYKOTE D321R,
OMAT 4/62,ROCOL ANTI-SEIZE STAINLES,
OMAT 4/70,PL 470,
OMAT 4-62,ROCOL ANTI-SEIZE STAINLES,
OMAT 5/31,GRIT SIZE400,
OMAT 606,ARDROX9D4A,
OMAT 8/160,EA9390A/B,
OMAT 8/52,EA934B/A,
ORCO-TAPE OT-40,POLYKEN 108 2IN,
P05-262,MS20995C32,
P05-289,MS9226-03,
P06-021,HI-T 650,
P06-023,SILVER GOOP,
P06-023,MS-TL-SGT,
P06-054,MOLYKOTE P37,
P212HD,P212HD 2IN,
P-306 OR P-306L,P306L 1IN,
PD-680,ARDROX 5502,
P-D-680,ARDROX 5502,
"P-D-680,TY I OR II",ARDROX 5502,
P-D-680TY1,ARDROX 5502,
P-D-680-TYPE 1(OR TYPE 2),ARDROX5502,
PETROLATUM VV-P-236,VV-P-236,
PRIMER 463-12-8,463-12-8/CA116,
PWA 36001,SILVER GOOP,
PWA 36053-1,NSN165,
SAE AMS2518,NYCO GREASE GN GA 47,
SAE AMS2518 (CP2101),GP460,
SAE AMS-S-8802 CLASS A,PROSEAL 890A2 6OZ,
SANI-TANK SP-800,SPGVAK200L,
SCOTCH BRITE,7447B,
SCOTCH-WELD DP110,DP110 EA,
SKYDROL 500B-4,EXXON HYJET V,
SKYDROL LD-4,EXXON HYJET V,
SKYDROL SAE AS1241,EXXON HYJET V,
SL5107 A3-410,SL5107A3-410,
TT-I-735,ISOPROPYL ALCOHOL,
TT-M-261,MEK,
USAMIL-T-5544,NYCO GREASE GN GA 47,
飞机清洗剂,DRJ-1,
护目镜,UVEX9405,
橡胶手套,G990000136,
异丙醇,ISOPROPYL ALCOHOL,
5号电池,BATTERY 5,
配制的碱性清洁剂,DRJ-1,
PR1436GB2,PROSEAL 870B26OZ,
TT-N-95,SHELLSOL W HT,
TT-N-95 TYPE I,SHELLSOL W HT,
TT-N-95 TYPEⅠ,SHELLSOL W HT,
"TT-N-95, TYPE I",SHELLSOL W HT,
TT-N-95 TY2,SHELLSOL W HT,
TT-N-95 TYPEⅠI,SHELLSOL W HT,
TT-N-95 TYPE II,SHELLSOL W HT,
"TT-N-95,TYPE II",SHELLSOL W HT,
"TT-N-95, TYPE II",SHELLSOL W HT,
00-026,LOTOXANE,
01-076,DIESTONE DLS,
01-457,DIESTONE DLS,
02-001,AEROSHELL 41,
02-004,ROYCO SSF,
02-006,CASTROL AERO 40,
02-178,3M 250 1IN,
09-016,PR1422B2,
09-017,PR1422B2,
09-036,FLOORSIL87,
09-054,FLOORSIL 2,
09-056,MC650B1,
09-058D,PR1826 B1/2,
11-003,MEK,
11-004,TRICHLOROETHYLENE,
11-006,ALCOHOL,
11-007,SAN50,
11-010,ALCOHOL,
11-013A,TC-100,
BMS5-92,EC2216B/A GRAY,
"BMS5-92,TYPE V,CLASS 2",EC2615B/A,
BMS5-95,PROSEAL 870B26OZ,
BMS5-95,PROSEAL870B1/2(6OZ),
BMS5-95 B2,PROSEAL 870B26OZ,
BMS5-95 CLASS B,PROSEAL 870B26OZ,
BMS5-95 CLASS B1/2,PROSEAL 870B1/2 6OZ,
BMS5-95 CLASSB 1/2,PROSEAL 870B1/2 6OZ,
BMS5-95 TYPE I B-2,PROSEAL 870B26OZ,
BMS5-95 Type I Class B,PROSEAL 870B26OZ,
BMS5-95， CLASS B,PROSEAL 870B26OZ,
"BMS5-95, CLASS B",PROSEAL 870B26OZ,
"BMS5-95,CLASS B",PROSEAL 870B1/2 6OZ,
"BMS5-95,CLASS B",PROSEAL 870B26OZ,
"BMS5-95,TYPE 1 CLASS B-2",PROSEAL 870B1/2 6OZ,
"BMS5-95,TYPE 1,CLASS",PROSEAL 870B26OZ,
BMS5-95B-1/2 TYPE1,PROSEAL 870B1/2 6OZ,
BMS5-95B2,PROSEAL 870B26OZ,
BMS5-95B2(PT),PROSEAL 870B26OZ,
BMS5-95TY1CLB1/2,PROSEAL 870B1/2 6OZ,
BMS5-95TY1CLB-2,PROSEAL 870B1/2 6OZ,
NO.19-028,P15-350S,
V01-001,TRICHLOROETHYLENE,
MIL-PRF-16173,AV8,
MIL-PRF-16173,AV15,
MIL-PRF-16173,AV25,
MIL-PRF-16173,AV30 13.5OZ,
MIL-PRF-16173,ARDROX AV100D,
MIL-PRF-81309F TY2&3 CL1&2,D-5026NS ,
MIL-PRF-81309F TY2&3 CL1&2,D5026NS ,
P29,NO.232S,
MIL-PRF-32014,BRAYCOTE3214-6.5LB,
G02356,3M 471 3IN,
C00954,SS4004,
C00954,SS4004P,
AEROSHELL 15A GREASE,AEROSHELL GREASE 33,
MIL-G-25013,AEROSHELL GREASE 33,
AEROSHELL GREASE 15,AEROSHELL GREASE 33,
MIL-G-25013E,AEROSHELL GREASE 33,
GA 100-2,AC9165-9IN,
P05-038,AC9165-9IN,
MIL-PRF-83483,ROYCO 1MS,
MIL-PRF-83483C,ROYCO 1MS,
ASTMD740/PT,MEK,
AIR4222,AEROSHELL 22,
NO.V01-297,ARDROX5502,
MIL-G-25013,AEROSHELL GREASE 33,
MIL-G-25013,MOBIL GREASE33,
SAE AMS1476,HONEY BEE 60,
AMS 1640,HONEY BEE 60,
NO.14-001A,HONEY BEE 60,
14-001A,HONEY BEE 60,
07-020B,SECURING VARNISH,
07-020B,SECURING LACQUER,
NO.14-006B,ARDROX1820,
NO.14-006D,ARDROX1820,
NO.14-006,ARDROX1820,
14-006,ARDROX1820,
SAE AMS1452,ARDROX1820,
SAE AMS1452,ARDROX1820,
V01-210,A3177,
BMS5-37,PR1428A1/2,
SANTOVAC 5,VVP236,
MIL-S-46163 TYPE II（底漆）,INSTABOND PRIMER F,
MIL-S-46163A,LOCTITE242,
